district,amphoe,province,zipcode,district_code,amphoe_code,province_code,district_en,amphoe_en,province_en
เกาะกลาง,เกาะลันตา,กระบี่,81120,810303,8103,81,Ko Klang,Ko Lanta,Krabi
เกาะลันตาน้อย,เกาะลันตา,กระบี่,81150,810302,8103,81,Ko Lanta Noi,Ko Lanta,Krabi
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,81150,810301,8103,81,Ko Lanta Yai,Ko Lanta,Krabi
คลองยาง,เกาะลันตา,กระบี่,81120,810304,8103,81,Khlong Yang,Ko Lanta,Krabi
ศาลาด่าน,เกาะลันตา,กระบี่,81150,810305,8103,81,Sala Dan,Ko Lanta,Krabi
เขาดิน,เขาพนม,กระบี่,81140,810202,8102,81,Khao Din,Khao Phanom,Krabi
เขาพนม,เขาพนม,กระบี่,81140,810201,8102,81,Khao Phanom,Khao Phanom,Krabi
โคกหาร,เขาพนม,กระบี่,80240,810206,8102,81,Khok Han,Khao Phanom,Krabi
พรุเตียว,เขาพนม,กระบี่,81140,810204,8102,81,Phru Tiao,Khao Phanom,Krabi
สินปุน,เขาพนม,กระบี่,80240,810203,8102,81,Sin Pun,Khao Phanom,Krabi
หน้าเขา,เขาพนม,กระบี่,81140,810205,8102,81,Na Khao,Khao Phanom,Krabi
คลองท่อมใต้,คลองท่อม,กระบี่,81120,810401,8104,81,Khlong Thom Tai,Khlong Thom,Krabi
คลองท่อมเหนือ,คลองท่อม,กระบี่,81120,810402,8104,81,Khlong Thom Nuea,Khlong Thom,Krabi
คลองพน,คลองท่อม,กระบี่,81170,810403,8104,81,Khlong Phon,Khlong Thom,Krabi
ทรายขาว,คลองท่อม,กระบี่,81170,810404,8104,81,Sai Khao,Khlong Thom,Krabi
พรุดินนา,คลองท่อม,กระบี่,81120,810406,8104,81,Phru Din Na,Khlong Thom,Krabi
เพหลา,คลองท่อม,กระบี่,81120,810407,8104,81,Phela,Khlong Thom,Krabi
ห้วยน้ำขาว,คลองท่อม,กระบี่,81120,810405,8104,81,Huai Nam Khao,Khlong Thom,Krabi
เขาเขน,ปลายพระยา,กระบี่,81160,810597,8106,81,Khao Khen,Plai Phraya,Krabi
เขาต่อ,ปลายพระยา,กระบี่,81160,810598,8106,81,Khao To,Plai Phraya,Krabi
คีรีวง,ปลายพระยา,กระบี่,81160,810604,8106,81,Khiri Wong,Plai Phraya,Krabi
ปลายพระยา,ปลายพระยา,กระบี่,81160,810599,8106,81,Plai Phraya,Plai Phraya,Krabi
กระบี่น้อย,เมืองกระบี่,กระบี่,81000,810103,8101,81,Krabi Noi,Mueang Krabi,Krabi
กระบี่ใหญ่,เมืองกระบี่,กระบี่,81000,810102,8101,81,Krabi Yai,Mueang Krabi,Krabi
เขาคราม,เมืองกระบี่,กระบี่,81000,810105,8101,81,Khao Khram,Mueang Krabi,Krabi
เขาทอง,เมืองกระบี่,กระบี่,81000,810106,8101,81,Khao Thong,Mueang Krabi,Krabi
คลองประสงค์,เมืองกระบี่,กระบี่,81000,810118,8101,81,Khlong Prasong,Mueang Krabi,Krabi
ทับปริก,เมืองกระบี่,กระบี่,81000,810111,8101,81,Thap Prik,Mueang Krabi,Krabi
ปากน้ำ,เมืองกระบี่,กระบี่,81000,810101,8101,81,Pak Nam,Mueang Krabi,Krabi
ไสไทย,เมืองกระบี่,กระบี่,81000,810115,8101,81,Sai Thai,Mueang Krabi,Krabi
หนองทะเล,เมืองกระบี่,กระบี่,81180,810117,8101,81,Nong Thale,Mueang Krabi,Krabi
อ่าวนาง,เมืองกระบี่,กระบี่,81000,810116,8101,81,Ao Nang,Mueang Krabi,Krabi
ดินแดง,ลำทับ,กระบี่,81190,810704,8107,81,Din Daeng,Lam Thap,Krabi
ดินอุดม,ลำทับ,กระบี่,81190,810702,8107,81,Din Udom,Lam Thap,Krabi
ทุ่งไทรทอง,ลำทับ,กระบี่,81190,810703,8107,81,Thung Sai Thong,Lam Thap,Krabi
ลำทับ,ลำทับ,กระบี่,81190,810499,8107,81,Lam Thap,Lam Thap,Krabi
เกาะศรีบอยา,เหนือคลอง,กระบี่,81130,810104,8108,81,Ko Si Boya,Nuea Khlong,Krabi
คลองขนาน,เหนือคลอง,กระบี่,81130,810107,8108,81,Khlong Khanan,Nuea Khlong,Krabi
คลองเขม้า,เหนือคลอง,กระบี่,81130,810108,8108,81,Khlong Khamao,Nuea Khlong,Krabi
โคกยาง,เหนือคลอง,กระบี่,81130,810109,8108,81,Khok Yang,Nuea Khlong,Krabi
ตลิ่งชัน,เหนือคลอง,กระบี่,81130,810110,8108,81,Taling Chan,Nuea Khlong,Krabi
ปกาสัย,เหนือคลอง,กระบี่,81130,810112,8108,81,Pakasai,Nuea Khlong,Krabi
ห้วยยูง,เหนือคลอง,กระบี่,81130,810113,8108,81,Huai Yung,Nuea Khlong,Krabi
เหนือคลอง,เหนือคลอง,กระบี่,81130,810114,8108,81,Nuea Khlong,Nuea Khlong,Krabi
เขาใหญ่,อ่าวลึก,กระบี่,81110,810507,8105,81,Khao Yai,Ao Luek,Krabi
คลองยา,อ่าวลึก,กระบี่,81110,810508,8105,81,Khlong Ya,Ao Luek,Krabi
คลองหิน,อ่าวลึก,กระบี่,81110,810504,8105,81,Khlong Hin,Ao Luek,Krabi
นาเหนือ,อ่าวลึก,กระบี่,81110,810503,8105,81,Na Nuea,Ao Luek,Krabi
บ้านกลาง,อ่าวลึก,กระบี่,81110,810509,8105,81,Ban Klang,Ao Luek,Krabi
แหลมสัก,อ่าวลึก,กระบี่,81110,810502,8105,81,Laem Sak,Ao Luek,Krabi
อ่าวลึกใต้,อ่าวลึก,กระบี่,81110,810501,8105,81,Ao Luek Tai,Ao Luek,Krabi
อ่าวลึกน้อย,อ่าวลึก,กระบี่,81110,810505,8105,81,Ao Luek Noi,Ao Luek,Krabi
อ่าวลึกเหนือ,อ่าวลึก,กระบี่,81110,810506,8105,81,Ao Luek Nuea,Ao Luek,Krabi
คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,100902,1033,10,Khlong Tan,Khlong Toei,Bangkok
คลองเตย,คลองเตย,กรุงเทพมหานคร,10110,100901,1033,10,Khlong Toei,Khlong Toei,Bangkok
พระโขนง,คลองเตย,กรุงเทพมหานคร,10110,100903,1033,10,Phra Khanong,Khlong Toei,Bangkok
พระโขนง,คลองเตย,กรุงเทพมหานคร,10260,100903,1033,10,Phra Khanong,Khlong Toei,Bangkok
คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,10600,101804,1018,10,Khlong Ton Sai,Khlong San,Bangkok
คลองสาน,คลองสาน,กรุงเทพมหานคร,10600,101599,1018,10,Khlong San,Khlong San,Bangkok
บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,10600,101803,1018,10,Bang Lamphu Lang,Khlong San,Bangkok
สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,10600,101801,1018,10,Somdet Chao Phraya,Khlong San,Bangkok
ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,101004,1046,10,Sai Kong Din,Khlong Sam Wa,Bangkok
ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,101005,1046,10,Sai Kong Din Tai,Khlong Sam Wa,Bangkok
บางชัน,คลองสามวา,กรุงเทพมหานคร,10510,101003,1046,10,Bang Chan,Khlong Sam Wa,Bangkok
สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,101007,1046,10,Sam Wa Tawantok,Khlong Sam Wa,Bangkok
สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,10510,101006,1046,10,Sam Wa Tawan-ok,Khlong Sam Wa,Bangkok
คันนายาว,คันนายาว,กรุงเทพมหานคร,10230,100606,1043,10,Khan Na Yao,Khan Na Yao,Bangkok
รามอินทรา,คันนายาว,กรุงเทพมหานคร,10230,,1043,10,Ram Intra,Khan Na Yao,Bangkok
จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,103005,1030,10,Chatuchak,Chatuchak,Bangkok
จอมพล,จตุจักร,กรุงเทพมหานคร,10900,103004,1030,10,Chom Phon,Chatuchak,Bangkok
จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,103003,1030,10,Chan Kasem,Chatuchak,Bangkok
ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,100501,1030,10,Lat Yao,Chatuchak,Bangkok
เสนานิคม,จตุจักร,กรุงเทพมหานคร,10900,103002,1030,10,Sena Nikhom,Chatuchak,Bangkok
จอมทอง,จอมทอง,กรุงเทพมหานคร,10150,102102,1035,10,Chom Thong,Chom Thong,Bangkok
บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,102103,1035,10,Bang Khun Thian,Chom Thong,Bangkok
บางค้อ,จอมทอง,กรุงเทพมหานคร,10150,102101,1035,10,Bang Kho,Chom Thong,Bangkok
บางมด,จอมทอง,กรุงเทพมหานคร,10150,102106,1035,10,Bang Mot,Chom Thong,Bangkok
ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,10210,,1036,10,Don Mueang,Don Mueang,Bangkok
สนามบิน,ดอนเมือง,กรุงเทพมหานคร,10210,,1036,10,Sa Nam Bin,Don Mueang,Bangkok
สีกัน,ดอนเมือง,กรุงเทพมหานคร,10210,100505,1036,10,Si Kan,Don Mueang,Bangkok
ดินแดง,ดินแดง,กรุงเทพมหานคร,10400,101703,1026,10,Din Daeng,Din Daeng,Bangkok
ดุสิต,ดุสิต,กรุงเทพมหานคร,10300,100201,1002,10,Dusit,Dusit,Bangkok
ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,100206,1002,10,Thanon Nakhon Chai Si,Dusit,Bangkok
วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,10300,100202,1002,10,Wachiraphayaban,Dusit,Bangkok
สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10300,100203,1002,10,Suan Chit Lada,Dusit,Bangkok
สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10303,100203,1002,10,Suan Chit Lada,Dusit,Bangkok
สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,10300,100204,1002,10,Si Yaek Maha Nak,Dusit,Bangkok
คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,10170,101901,1019,10,Khlong Chak Phra,Taling Chan,Bangkok
ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,10170,101903,1019,10,Chimphli,Taling Chan,Bangkok
ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,10170,101902,1019,10,Taling Chan,Taling Chan,Bangkok
บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,10170,101907,1019,10,Bang Chueak Nang,Taling Chan,Bangkok
บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,10170,101904,1019,10,Bang Phrom,Taling Chan,Bangkok
บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,10170,101905,1019,10,Bang Ramat,Taling Chan,Bangkok
ทวีวัฒนา,ทวีวัฒนา,กรุงเทพมหานคร,10170,101906,1048,10,Thawi Watthana,Thawi Watthana,Bangkok
ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,10170,101908,1048,10,Sala Thammasop,Thawi Watthana,Bangkok
ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,10140,102404,1049,10,Thung Khru,Thung Khru,Bangkok
บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,102106,1049,10,Bang Mot,Thung Khru,Bangkok
ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,10600,101506,1015,10,Dao Khanong,Thon Buri,Bangkok
ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,10600,101505,1015,10,Talat Phlu,Thon Buri,Bangkok
บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,10600,101503,1015,10,Bang Yi Ruea,Thon Buri,Bangkok
บุคคโล,ธนบุรี,กรุงเทพมหานคร,10600,101504,1015,10,Bukkhalo,Thon Buri,Bangkok
วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,10600,101501,1015,10,Wat Kanlaya,Thon Buri,Bangkok
สำเหร่,ธนบุรี,กรุงเทพมหานคร,10600,101507,1015,10,Samre,Thon Buri,Bangkok
หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,10600,101502,1015,10,Hiran Ruchi,Thon Buri,Bangkok
บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,10700,102006,1020,10,Bang Khun Non,Bangkok Noi,Bangkok
บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,10700,102007,1020,10,Bang Khun Si,Bangkok Noi,Bangkok
บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,10700,102005,1020,10,Ban Chang Lo,Bangkok Noi,Bangkok
ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,10700,102004,1020,10,Siri Rat,Bangkok Noi,Bangkok
อรุณอัมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,10700,,1020,10,Arun Ammarin,Bangkok Noi,Bangkok
วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,10600,101602,1016,10,Wat Tha Phra,Bangkok Yai,Bangkok
วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,10600,101601,1016,10,Wat Arun,Bangkok Yai,Bangkok
คลองจั่น,บางกะปิ,กรุงเทพมหานคร,10240,100601,1006,10,Khlong Chan,Bang Kapi,Bangkok
หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,100608,1006,10,Hua Mak,Bang Kapi,Bangkok
หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10250,100608,1006,10,Hua Mak,Bang Kapi,Bangkok
ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,102105,1021,10,Tha Kham,Bang Khun Thian,Bangkok
แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,102107,1021,10,Samae Dam,Bang Khun Thian,Bangkok
ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,100508,1005,10,Tha Raeng,Bang Khen,Bangkok
ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10230,100508,1005,10,Tha Raeng,Bang Khen,Bangkok
อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,100502,1005,10,Anusawari,Bang Khen,Bangkok
บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,10120,101207,1031,10,Bang Kho Laem,Bang Kho Laem,Bangkok
บางโคล่,บางคอแหลม,กรุงเทพมหานคร,10120,101206,1031,10,Bang Khlo,Bang Kho Laem,Bangkok
วัดพระยาไกร,บางคอแหลม,กรุงเทพมหานคร,10120,101205,1031,10,Wat Phraya Krai,Bang Kho Laem,Bangkok
บางแค,บางแค,กรุงเทพมหานคร,10160,102203,1040,10,Bang Khae,Bang Khae,Bangkok
บางแคเหนือ,บางแค,กรุงเทพมหานคร,10160,102204,1040,10,Bang Khae Nuea,Bang Khae,Bangkok
บางไผ่,บางแค,กรุงเทพมหานคร,10160,102205,1040,10,Bang Phai,Bang Khae,Bangkok
หลักสอง,บางแค,กรุงเทพมหานคร,10160,102301,1040,10,Lak Song,Bang Khae,Bangkok
บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,100205,1029,10,Bang Sue,Bang Sue,Bangkok
วงศ์สว่าง,บางซื่อ,กรุงเทพมหานคร,10800,,1029,10,Wong Sawang,Bang Sue,Bangkok
บางนา,บางนา,กรุงเทพมหานคร,10260,100904,1047,10,Bang Na,Bang Na,Bangkok
บางบอน,บางบอน,กรุงเทพมหานคร,10150,102104,1050,10,Bang Bon,Bang Bon,Bangkok
บางบำหรุ,บางพลัด,กรุงเทพมหานคร,10700,102002,1025,10,Bang Bamru,Bang Phlat,Bangkok
บางพลัด,บางพลัด,กรุงเทพมหานคร,10700,102001,1025,10,Bang Phlat,Bang Phlat,Bangkok
บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,10700,102008,1025,10,Bang Yi Khan,Bang Phlat,Bangkok
บางอ้อ,บางพลัด,กรุงเทพมหานคร,10700,102003,1025,10,Bang O,Bang Phlat,Bangkok
บางรัก,บางรัก,กรุงเทพมหานคร,10500,100404,1004,10,Bang Rak,Bang Rak,Bangkok
มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,100401,1004,10,Maha Phruettharam,Bang Rak,Bangkok
สี่พระยา,บางรัก,กรุงเทพมหานคร,10500,100405,1004,10,Si Phraya,Bang Rak,Bangkok
สีลม,บางรัก,กรุงเทพมหานคร,10500,100402,1004,10,Si Lom,Bang Rak,Bangkok
สุริยวงศ์,บางรัก,กรุงเทพมหานคร,10500,100403,1004,10,Suriyawong,Bang Rak,Bangkok
คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10230,100604,1027,10,Khlong Kum,Bueng Kum,Bangkok
คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10240,100604,1027,10,Khlong Kum,Bueng Kum,Bangkok
นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,10230,,1027,10,Nawamin,Bueng Kum,Bangkok
นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,10230,,1027,10,Nuan chan,Bueng Kum,Bangkok
ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,100703,1007,10,Pathum Wan,Pathum Wan,Bangkok
รองเมือง,ปทุมวัน,กรุงเทพมหานคร,10330,100701,1007,10,Rong Mueang,Pathum Wan,Bangkok
ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,100704,1007,10,Lumphini,Pathum Wan,Bangkok
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10330,100702,1007,10,Wang Mai,Pathum Wan,Bangkok
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10110,100702,1007,10,Wang Mai,Pathum Wan,Bangkok
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10120,100702,1007,10,Wang Mai,Pathum Wan,Bangkok
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10400,100702,1007,10,Wang Mai,Pathum Wan,Bangkok
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10500,100702,1007,10,Wang Mai,Pathum Wan,Bangkok
ดอกไม้,ประเวศ,กรุงเทพมหานคร,10250,100909,1032,10,Dokmai,Prawet,Bangkok
ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,100908,1032,10,Prawet,Prawet,Bangkok
หนองบอน,ประเวศ,กรุงเทพมหานคร,10250,100907,1032,10,Nong Bon,Prawet,Bangkok
คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100803,1008,10,Khlong Maha Nak,Pom Prap Sattru Phai,Bangkok
บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100804,1008,10,Ban Bat,Pom Prap Sattru Phai,Bangkok
ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100801,1008,10,Pom Prap,Pom Prap Sattru Phai,Bangkok
วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100802,1008,10,Wat Thep Sirin,Pom Prap Sattru Phai,Bangkok
วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100805,1008,10,Wat Sommanat,Pom Prap Sattru Phai,Bangkok
สามเสนใน,พญาไท,กรุงเทพมหานคร,10400,100299,1014,10,Samsen Nai,Phaya Thai,Bangkok
บางจาก,พระโขนง,กรุงเทพมหานคร,10260,100905,1009,10,Bang Chak,Phra Khanong,Bangkok
ชนะสงคราม,พระนคร,กรุงเทพมหานคร,10200,100109,1001,10,Chana Songkhram,Phra Nakhon,Bangkok
ตลาดยอด,พระนคร,กรุงเทพมหานคร,10200,100108,1001,10,Talat Yot,Phra Nakhon,Bangkok
บวรนิเวศ,พระนคร,กรุงเทพมหานคร,10200,100107,1001,10,Bowon Niwet,Phra Nakhon,Bangkok
บางขุนพรหม,พระนคร,กรุงเทพมหานคร,10200,100111,1001,10,Bang Khun Phrom,Phra Nakhon,Bangkok
บ้านพานถม,พระนคร,กรุงเทพมหานคร,10200,100110,1001,10,Ban Phan Thom,Phra Nakhon,Bangkok
พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,100101,1001,10,Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok
วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,100102,1001,10,Wang Burapha Phirom,Phra Nakhon,Bangkok
วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,10200,100103,1001,10,Wat Ratchabophit,Phra Nakhon,Bangkok
วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,100112,1001,10,Wat Sam Phraya,Phra Nakhon,Bangkok
ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,10200,100105,1001,10,San Chao Pho Suea,Phra Nakhon,Bangkok
สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,10200,100104,1001,10,Samran Rat,Phra Nakhon,Bangkok
เสาชิงช้า,พระนคร,กรุงเทพมหานคร,10200,100106,1001,10,Sao Chingcha,Phra Nakhon,Bangkok
คลองขวาง,ภาษีเจริญ,กรุงเทพมหานคร,10160,102208,1022,10,Khlong Khwang,Phasi Charoen,Bangkok
คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,10160,102210,1022,10,Khuha Sawan,Phasi Charoen,Bangkok
บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,10160,100905,1022,10,Bang Chak,Phasi Charoen,Bangkok
บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,10160,102202,1022,10,Bang Duan,Phasi Charoen,Bangkok
บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,10160,102207,1022,10,Bang Waek,Phasi Charoen,Bangkok
บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,10160,102201,1022,10,Bang Wa,Phasi Charoen,Bangkok
ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,10160,102209,1022,10,Pak Khlong Phasi Charoen,Phasi Charoen,Bangkok
มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,101001,1010,10,Min Buri,Min Buri,Bangkok
แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,101002,1010,10,Saen Saep,Min Buri,Bangkok
ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,10120,101203,1012,10,Chong Nonsi,Yan Nawa,Bangkok
บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,10120,101204,1012,10,Bang Phongphang,Yan Nawa,Bangkok
ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,10400,101405,1037,10,Thanon Phaya Thai,Ratchathewi,Bangkok
ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,10400,101402,1037,10,Thanon Phetchaburi,Ratchathewi,Bangkok
ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,10400,101403,1037,10,Thung Phaya Thai,Ratchathewi,Bangkok
มักกะสัน,ราชเทวี,กรุงเทพมหานคร,10400,101404,1037,10,Makkasan,Ratchathewi,Bangkok
บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,102402,1024,10,Bang Pakok,Rat Burana,Bangkok
ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,102401,1024,10,Rat Burana,Rat Burana,Bangkok
ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,10520,101106,1011,10,Khum Thong,Lat Krabang,Bangkok
คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,10520,101102,1011,10,Khlong Song Ton Nun,Lat Krabang,Bangkok
คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,10520,101103,1011,10,Khlong Sam Prawet,Lat Krabang,Bangkok
ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,101105,1011,10,Thap Yao,Lat Krabang,Bangkok
ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,10520,101101,1011,10,Lat Krabang,Lat Krabang,Bangkok
ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,101104,1011,10,Lam Pla Thio,Lat Krabang,Bangkok
จรเข้บัว,ลาดพร้าว,กรุงเทพมหานคร,10230,100607,1038,10,Chorakhe Bua,Lat Phrao,Bangkok
ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,10230,100603,1038,10,Lat Phrao,Lat Phrao,Bangkok
คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,10310,,1045,10,Khlong Chaokhun Sing,Wang Thonglang,Bangkok
พลับพลา,วังทองหลาง,กรุงเทพมหานคร,10310,,1045,10,Phlab Phla,Wang Thonglang,Bangkok
วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,100602,1045,10,Wang Thonglang,Wang Thonglang,Bangkok
สะพานสอง,วังทองหลาง,กรุงเทพมหานคร,10310,,1045,10,Saphan Song,Wang Thonglang,Bangkok
คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103305,1039,10,Khlong Tan Nuea,Watthana,Bangkok
คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103304,1039,10,Khlong Toei Nuea,Watthana,Bangkok
พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103306,1039,10,Phra Khanong Nuea,Watthana,Bangkok
พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,10260,103306,1039,10,Phra Khanong Nuea,Watthana,Bangkok
สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10250,100906,1034,10,Suan Luang,Suan Luang,Bangkok
ทับช้าง,สะพานสูง,กรุงเทพมหานคร,10250,104403,1044,10,Thab Chang,Suan Luang,Bangkok
ราษฎร์พัฒนา,สะพานสูง,กรุงเทพมหานคร,10240,104402,1044,10,Rat Pattana,Suan Luang,Bangkok
สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10240,100605,1044,10,Saphan Sung,Saphan Sung,Bangkok
สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10250,100605,1044,10,Saphan Sung,Suan Luang,Bangkok
จักรวรรดิ์,สัมพันธวงศ์,กรุงเทพมหานคร,10100,,1013,10,Chakkrawat,Samphanthawong,Bangkok
ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,10100,101303,1013,10,Talat Noi,Samphanthawong,Bangkok
สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,10100,101302,1013,10,Samphanthawong,Samphanthawong,Bangkok
ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,10120,101208,1028,10,Thung Maha Mek,Sathon,Bangkok
ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,10120,101201,1028,10,Thung Wat Don,Sathon,Bangkok
ยานนาวา,สาทร,กรุงเทพมหานคร,10120,101202,1028,10,Yan Nawa,Sathon,Bangkok
คลองถนน,สายไหม,กรุงเทพมหานคร,10220,100503,1042,10,Khlong Thanon,Sai Mai,Bangkok
สายไหม,สายไหม,กรุงเทพมหานคร,10220,100506,1042,10,Sai Mai,Sai Mai,Bangkok
ออเงิน,สายไหม,กรุงเทพมหานคร,10220,100509,1042,10,O Ngoen,Sai Mai,Bangkok
หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,102302,1023,10,Nong Khaem,Nong Khaem,Bangkok
หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,102303,1023,10,Nong Khang Phlu,Nong Khaem,Bangkok
กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,10530,100301,1003,10,Krathum Rai, Nong Chok,Bangkok
คลองสิบ,หนองจอก,กรุงเทพมหานคร,10530,100303,1003,10,Khlong Sip, Nong Chok,Bangkok
คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,10530,100304,1003,10,Khlong Sip Song, Nong Chok,Bangkok
